id,symbol,created_at,exchanges,category,logoUrl,volatility_index,hurst_4h,hurst_8h,hurst_12h,hurst_1d,efficiency_index,trend_harmony_index,btc_correlation,returns_skewness,avg_wick_ratio,relative_strength_vs_btc,max_drawdown_percent,entropy,kurtosis,autocorrelation,entropy_4h,entropy_8h,entropy_12h,entropy_1d
1,TWT/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,twt.png,9.144,0.6233,0.6502,0.5926,0.7111,0.2702,0.0667,0.055,1.9856,5.5731,1.4054,-18.6,,8.5668,0.251,1.1990477,1.7494831,2.0908,1.9769495
2,WAL/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",2,wal.png,5.7857,0.5534,0.5693,0.5554,0.5528,0.02,0.0,0.0602,0.2937,6.0991,0.6488,-24.24,,-0.0039,-0.072,2.430757,2.6018703,2.5904927,2.9980268
3,COTI/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,coti.png,7.0292,0.587,0.6154,0.6109,0.5991,0.0245,0.0444,0.0076,0.1541,2.8786,0.6392,-35.96,,0.0445,-0.1742,2.269024,2.3272543,2.5210745,2.9153433
4,HBAR/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,hbar.png,5.5351,0.6246,0.6634,0.6459,0.648,0.0188,0.0,0.0042,1.4761,3.5065,0.7397,-28.9,,5.3696,-0.0974,2.006995,2.157822,2.3540297,2.356383
5,GPS/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,gps.png,12.35,0.6306,0.6352,0.6825,0.6827,0.1804,0.1111,0.0609,2.2392,8.5175,0.3784,-61.85,,11.9301,0.0738,1.1683332,1.3862247,1.4671426,2.0800068
6,KMNO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,kmno.png,10.6364,0.478,0.4699,0.4542,0.4465,0.0498,0.1333,0.1673,1.5178,3.3404,0.8401,-33.08,,7.5998,-0.0696,1.7248508,1.9996387,2.1722667,2.2192395
7,1000SATS/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],4,1000sats.png,13.0645,0.4979,0.5108,0.4714,0.3662,0.0444,0.0222,0.0193,0.4548,inf,0.5738,-34.87,,2.5303,0.0053,0.59105563,1.1178157,2.056923,2.4686832
8,ICP/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,icp.png,5.1779,0.4415,0.4351,0.4097,0.4002,0.0832,0.0667,0.0036,-0.2998,3.8815,0.5572,-33.57,,0.1704,-0.1097,2.4264207,2.676941,2.3903232,2.826545
9,HYPE/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,hype.png,7.8671,0.7354,,0.8481,0.9385,0.0212,0.0667,-0.0654,0.4668,2.366,0.645,-31.08,,0.4068,-0.1477,2.4357135,,2.8840528,2.818901
10,EPIC/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",3,epic.png,12.6718,0.698,0.7137,0.7201,0.6746,0.0499,0.0444,-0.0884,4.9012,6.7911,1.0882,-50.05,,35.0936,-0.1328,1.089838,1.3537434,1.2902004,1.5777624
11,KAITO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,kaito.png,10.3959,0.67,0.7169,0.6889,0.6943,0.0517,0.1111,0.0432,0.7393,5.8451,0.579,-44.95,,1.3485,0.1332,1.3430603,1.7028326,2.084595,2.7313654
12,PORTAL/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,portal.png,9.0547,0.6721,0.6967,0.7058,0.7155,0.1051,0.0,0.0513,-0.0406,11.3213,0.4622,-40.66,,0.7602,-0.1209,2.3005152,2.2198346,2.4821944,2.8204343
13,UXLINK/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],6,uxlink.png,18.5421,0.7993,0.8441,0.7998,1.0293,0.3205,0.0111,-0.0337,-5.1745,3.8085,0.1396,-84.72,,35.6752,0.3136,0.51131105,0.7650682,1.2481809,1.1762649
14,1INCH/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",3,1inch.png,5.7644,0.625,0.6465,0.5908,0.6343,0.0974,0.0889,0.0496,0.0938,5.2294,0.5339,-36.29,,0.2752,-0.1484,1.972096,2.0798516,2.3042119,2.9354932
15,AUCTION/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,auction.png,5.2184,0.5437,0.5435,0.5561,0.5873,0.0742,0.0889,0.0751,0.4096,5.3621,0.5645,-30.73,,3.8658,-0.1465,1.1049976,1.3772458,1.5484742,2.318055
16,FLOW/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],4,flow.png,5.5873,0.5027,0.5066,0.4719,0.4191,0.0233,0.0889,0.0433,0.1828,inf,0.6477,-24.5,,0.855,-0.1819,2.2012236,2.5639174,2.2477746,2.7580948
17,CRV/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,crv.png,6.9117,0.5687,0.6217,0.603,0.6242,0.038,0.0,0.0212,0.3449,3.5724,0.8206,-42.17,,2.2581,0.1044,2.1305175,2.2969208,2.3412814,2.5007725
18,T/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,t.png,4.4613,0.444,0.392,0.3855,0.3454,0.053,0.0333,0.0444,-0.3408,inf,0.6135,-27.41,,0.7616,-0.1299,1.8022339,2.0064845,2.4182332,2.8508084
19,UMA/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,uma.png,5.9127,0.4871,0.4687,0.4606,0.3932,0.0139,0.0333,0.081,2.6282,inf,0.7259,-35.28,,16.8756,-0.0194,1.251287,1.7503421,1.6751297,1.9227525
20,GAS/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,gas.png,4.4878,0.5124,0.5098,0.4529,0.3978,0.036,0.0889,-0.0953,0.1868,inf,0.6416,-21.44,,0.9983,-0.0469,1.4435395,2.2066436,1.9278556,2.7482457
21,DOGS/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,dogs.png,7.222,0.5751,0.5956,0.5922,0.58,0.0549,0.0222,-0.0076,-0.1853,3.0078,0.5679,-30.41,,0.7229,-0.1498,2.1924398,2.450541,2.3191867,2.7508
22,ENJ/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,enj.png,5.7366,0.5149,0.5073,0.4888,0.4058,0.0751,0.0222,0.0741,-0.2898,8.2675,0.5545,-36.25,,0.3099,-0.0569,2.4479508,2.7521598,2.4369776,2.8829577
23,BB/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],4,bb.png,11.2131,0.6247,0.6397,0.6214,0.6456,0.1014,0.0222,0.0018,1.9064,4.0196,1.2008,-26.65,,7.1374,-0.1892,1.8161615,1.7436997,2.0159907,2.353574
24,GRASS/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",3,grass.png,11.7877,0.7274,0.7424,0.7708,0.8342,0.0908,0.0222,-0.0791,-0.0493,3.4483,0.4831,-44.13,,0.8681,-0.148,2.0309117,2.118321,2.350513,2.7580457
25,ALPACA/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],6,alpaca.png,0.0001,0.9726,0.9073,0.7928,0.7379,0.0,0.0,,,0.0,0.6916,0.0,,0.0,,0.0,0.0,0.0,0.0
26,LISTA/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,lista.png,12.1612,0.5573,0.5682,0.5661,0.6269,0.1472,0.1111,0.0439,2.6754,8.3588,1.2546,-32.02,,14.7151,-0.1486,1.2637705,1.597951,1.8442243,1.950265
27,BROCCOLIF3B/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],4,broccolif3b.png,14.8836,0.8849,0.8879,0.9377,1.0081,0.06,0.0222,-0.1082,1.6115,8.1926,0.9166,-35.04,,7.0799,-0.0682,1.2026135,1.5087157,1.817262,2.1386507
28,FARTCOIN/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,fartcoin.png,12.301,0.5797,0.5679,0.5893,0.5972,0.1248,0.0444,0.0576,-0.021,9.4421,0.3537,-66.9,,0.2726,-0.1224,2.503384,2.4366038,2.4030619,2.90397
29,SUN/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,sun.png,8.4066,0.5926,0.5589,0.5939,0.584,0.1035,0.0,0.0451,2.8408,18.531,0.9513,-24.71,,16.7805,-0.301,0.8542174,0.8804,0.8988089,1.7621154
30,AIXBT/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,aixbt.png,9.4098,0.6387,0.6469,0.6805,0.6552,0.1142,0.0222,0.0194,-0.2491,4.7741,0.4272,-50.37,,-0.3443,-0.126,2.0703392,2.5372498,2.4641404,2.9001997
31,OP/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,op.png,6.5739,0.5077,0.5015,0.4615,0.4446,0.019,0.1111,-0.0141,-0.5096,3.8456,0.743,-26.55,,0.5998,-0.0107,2.2866318,2.4737194,2.6599023,2.7725766
32,UNI/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,uni.png,6.0954,0.6131,0.6634,0.6411,0.6619,0.0222,0.0222,-0.0858,0.189,5.7995,0.6405,-38.58,,1.0955,0.0132,1.9312633,1.849441,1.9924115,2.7862065
33,JELLYJELLY/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",3,jellyjelly.png,15.091,0.8285,0.9038,0.8458,0.853,0.2473,0.0222,0.0691,4.3562,10.7047,2.2237,-36.37,,28.162,0.0575,1.1422032,1.7638959,1.6164078,1.4553504
34,HIPPO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,hippo.png,9.5084,0.6576,0.6545,0.6888,0.5816,0.1338,0.0444,0.0665,0.9362,3.5735,1.23,-42.13,,3.0141,-0.1135,1.7456316,2.0300918,2.2535155,2.49966
35,CYBER/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,cyber.png,8.3919,0.5642,0.5825,0.6185,0.6455,0.0049,0.0444,0.1324,4.2125,1.7332,0.7113,-50.13,,30.5294,-0.1367,0.28335884,0.35737517,1.0928026,1.7237052
36,ZETA/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",1,zeta.png,6.8384,0.5666,0.5726,0.5817,0.5723,0.0695,0.0667,0.1039,0.0049,4.3545,0.5604,-34.68,,0.3192,-0.1468,2.3998232,2.647353,2.4859664,2.9079168
37,ENS/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,ens.png,5.7799,0.6135,0.6735,0.6498,0.6818,0.0145,0.0444,-0.0231,0.1225,2.5628,0.6577,-36.73,,0.4722,0.0046,2.1140742,2.5276015,2.3266504,2.8045797
38,OM/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,om.png,7.924,1.1607,1.3172,1.3864,1.0282,0.0696,0.1111,0.0607,4.2302,14.3479,0.5108,-55.79,,31.7181,-0.0495,1.5685211,1.3730251,1.4554176,1.5289917
39,SKL/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,skl.png,8.3188,0.5982,0.5725,0.5871,0.5763,0.0225,0.1333,0.121,3.8046,3.1278,0.7966,-54.68,,24.9383,0.037,1.4783567,1.6694896,1.5071716,1.570919
40,PENDLE/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,pendle.png,7.3717,0.5151,0.5306,0.5788,0.5674,0.0385,0.1333,-0.0904,1.2807,4.0956,0.8038,-27.35,,5.5003,0.05,2.4518394,2.4558601,2.361275,2.2918942
41,W/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,w.png,11.1317,0.5722,0.5933,0.5608,0.5835,0.09,0.0444,0.1883,0.4587,3.1527,1.0174,-27.09,,0.8656,-0.0031,1.915603,2.410621,2.7433476,2.7618818
42,ZRO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,zro.png,8.201,0.5726,0.5885,0.5524,0.5618,0.0307,0.1333,-0.1787,-0.1808,12.313,0.7566,-28.64,,0.8687,-0.0317,1.93625,2.2643664,2.4817681,2.7524946
43,BAT/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,bat.png,5.3651,0.5063,0.4952,0.4656,0.3943,0.0612,0.1556,0.0923,0.57,3.7868,0.8145,-18.9,,1.9297,-0.0731,2.2001746,2.211269,2.472007,2.562812
44,BMT/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,bmt.png,9.3506,0.5809,0.5981,0.5961,0.6183,0.1013,0.0,-0.0087,-0.0506,3.4885,0.5275,-38.49,,1.9998,-0.2368,1.4128522,1.5967381,2.2209182,2.5267417
45,SOLV/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,solv.png,6.2632,0.5851,0.5961,0.6062,0.6961,0.0376,0.1556,-0.1633,0.5435,2.9041,0.6329,-19.17,,1.3424,-0.2294,1.4707497,1.8504952,2.3612792,2.6998544
46,MEME/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,meme.png,8.6877,0.5785,0.5803,0.591,0.5692,0.0539,0.1111,-0.0469,3.6289,3.6961,0.9236,-47.51,,21.9185,-0.2743,0.9134559,1.2297446,1.1148864,1.737146
47,WLD/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,wld.png,9.8412,0.6219,0.6234,0.6488,0.5663,0.0326,0.0222,-0.0631,3.2374,13.7864,0.8033,-38.7,,20.2604,0.1968,1.5213388,2.030556,2.0173347,1.8879232
48,CETUS/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,cetus.png,8.2259,0.6711,0.6962,0.6825,0.7175,0.0913,0.0222,0.0869,0.3604,3.0739,0.4705,-48.61,,1.6592,-0.1001,2.282632,2.2168314,2.4783306,2.6276639
49,SFP/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,sfp.png,7.2114,0.4597,0.4659,0.4194,0.4206,0.001,0.1111,0.1582,0.281,5.0817,0.69,-19.46,,1.5593,-0.2691,0.88956773,1.7489209,1.5583096,2.616578
50,IMX/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,imx.png,9.2206,0.6078,0.5985,0.5619,0.5509,0.0738,0.1333,0.0341,0.0769,11.3899,0.9351,-25.54,,0.0442,0.0522,2.6173964,2.4966025,2.5685947,2.9987514
51,TRB/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,trb.png,6.2436,0.6436,0.6567,0.665,0.6259,0.0705,0.0444,0.0447,-0.451,12.2368,0.5631,-36.14,,-0.0657,-0.1383,2.4558575,2.4660704,2.4895043,2.9906933
52,LTC/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,ltc.png,4.1319,0.5742,0.6167,0.6104,0.6217,0.1121,0.0889,0.0046,0.4685,6.3757,0.8882,-21.9,,1.9183,-0.0485,1.7652493,1.9677476,2.346321,2.6419938
53,NMR/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,nmr.png,9.3656,0.5876,0.5367,0.596,0.5788,0.1185,0.0444,-0.0447,5.248,10.4437,1.3892,-39.67,,37.7465,0.123,1.1748856,0.6570668,0.71758807,1.1572999
54,POL/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,pol.png,5.0383,0.5232,0.5245,0.4983,0.4307,0.0124,0.0222,0.0203,-0.2753,4.3119,0.716,-25.25,,0.1163,-0.0753,2.4129703,2.5576365,2.5559404,2.9866402
55,TIA/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,tia.png,6.9256,0.6221,0.6384,0.6513,0.6523,0.0697,0.0667,-0.0048,-0.2432,2.2584,0.5341,-39.06,,0.2381,-0.091,2.4337866,2.401631,2.4330587,2.8412833
56,BEAMX/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,beamx.png,7.7914,0.5912,0.6067,0.5854,0.556,0.0729,0.1111,0.0573,-0.2186,3.4281,0.8892,-28.29,,0.1356,-0.0483,2.3272128,2.6586435,2.8219163,2.838872
57,NEO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,neo.png,5.5602,0.4931,0.5094,0.4641,0.3905,0.0057,0.1333,0.0386,-0.3379,9.2676,0.681,-28.25,,-0.0265,0.0325,2.2379062,2.5959234,2.6227572,2.9643483
58,CAKE/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,cake.png,9.781,0.5786,0.6237,0.6025,0.6094,0.1471,0.0444,0.0346,1.3537,2.4783,1.108,-24.15,,2.9281,0.1019,2.0098093,2.0998173,2.3625038,2.5816982
59,USUAL/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,usual.png,9.7642,0.6803,0.6798,0.7048,0.7479,0.0959,0.0444,0.0868,1.3787,3.8381,0.4129,-55.75,,6.5786,-0.1881,1.981709,1.8535668,1.9600732,2.3256233
60,SOL/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,sol.png,5.5583,0.585,0.596,0.6133,0.6067,0.1029,0.1333,0.0929,0.0566,2.4856,0.9423,-23.02,,0.0554,-0.0445,2.2574487,2.8614972,2.503982,2.9486492
61,ANIME/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,anime.png,6.6217,0.6516,0.6811,0.7006,0.7667,0.0847,0.0222,-0.0074,-0.0305,2.598,0.5269,-37.34,,-0.196,-0.1333,1.4194643,2.3459961,1.7049301,2.9953072
62,DRIFT/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",3,drift.png,11.8759,0.5973,0.6008,0.5772,0.6167,0.1164,0.0444,0.2857,1.6043,5.6761,1.2048,-29.15,,6.5655,0.0058,1.850852,2.0830615,1.997746,2.3455236
63,LINK/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,link.png,5.9908,0.6238,0.6306,0.6621,0.6546,0.095,0.0444,0.0459,0.3966,5.1677,0.9959,-24.85,,0.2442,-0.0982,1.9539056,2.395069,2.7750735,2.9861457
64,MELANIA/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,melania.png,6.8822,0.6902,0.7045,0.7347,0.8568,0.0367,0.0111,-0.041,0.2337,inf,0.6066,-37.96,,1.1406,-0.1413,1.3922651,1.8327199,1.8801045,2.7561028
65,COOKIE/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,cookie.png,9.7008,0.7196,0.746,0.7244,0.7234,0.1109,0.0222,-0.0212,-0.0673,3.0108,0.4357,-55.01,,0.5459,-0.1501,2.2801197,2.419795,2.541281,2.7567098
66,AI16Z/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,ai16z.png,11.8873,0.6965,0.7042,0.7701,0.7829,0.1455,0.0444,0.0103,0.0985,4.2416,0.3359,-58.97,,0.7178,-0.117,2.4075134,2.417432,2.471102,2.7261336
67,PROMPT/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,prompt.png,12.4242,0.7023,0.7132,0.6939,0.6721,0.0133,0.1778,-0.1658,3.3344,3.7024,0.6281,-62.52,,17.8418,0.2857,1.5229698,1.6650648,1.9404922,1.8132627
68,PEOPLE/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],4,people.png,7.7713,0.6945,0.7131,0.721,0.7006,0.0587,0.0444,0.0538,-0.3719,3.4352,0.5446,-36.55,,0.1648,-0.1156,2.5243268,2.5760417,2.4204938,2.9440951
69,HMSTR/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,hmstr.png,6.1561,0.8643,0.9076,0.9392,1.0416,0.051,0.0889,-0.0136,-0.3894,inf,0.5769,-36.95,,0.0839,-0.1294,1.2862854,2.1681201,1.9275932,2.9010284
