id,symbol,created_at,exchanges,category,logoUrl,volatility_index,hurst_4h,hurst_8h,hurst_12h,hurst_1d,efficiency_index,trend_harmony_index,btc_correlation,returns_skewness,avg_wick_ratio,relative_strength_vs_btc,max_drawdown_percent,entropy,kurtosis,autocorrelation,entropy_4h,entropy_8h,entropy_12h,entropy_1d
101,COMP/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,comp.png,4.8374,0.4858,0.4929,0.4847,0.4233,0.0435,0.0444,-0.0212,0.206,3.3878,0.6199,-28.27,,1.4697,-0.0661,2.3061798,2.3452528,2.4730146,2.519503
102,TRX/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,trx.png,2.1614,0.5984,0.6281,0.666,0.742,0.0819,0.0333,-0.1393,0.0109,inf,0.7685,-14.4,,1.4418,-0.2145,1.8159268,2.2157009,2.2093787,2.6357965
103,DIA/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,dia.png,7.4428,0.6625,0.7102,0.6411,0.6893,0.0338,0.1556,0.101,3.1052,5.1696,0.8499,-50.84,,16.5867,0.3487,1.2732891,1.1874263,1.2653873,1.7734742
104,QNT/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,qnt.png,5.4219,0.6699,0.705,0.7257,0.7326,0.0436,0.0444,0.1571,-0.1013,2.8237,0.6223,-35.8,,1.1672,-0.1739,2.4472482,2.5672324,2.7946222,2.779061
105,AAVE/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,aave.png,5.9918,0.707,0.7488,0.7424,0.8048,0.036,0.0,0.0134,0.5646,2.9649,0.6233,-27.29,,1.5514,-0.0256,2.1617587,2.3068383,2.1058028,2.7099464
106,BNB/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,bnb.png,4.834,0.6885,0.7579,0.774,0.8589,0.3203,0.2222,0.0891,0.2852,3.3445,1.2627,-12.76,,0.9273,-0.0591,2.208026,2.187898,2.6099565,2.7396216
107,VINE/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",3,vine.png,12.4128,0.7045,0.6639,0.7594,0.7558,0.057,0.0444,0.1398,4.4007,6.1074,1.2146,-62.26,,30.4595,0.0056,0.90552485,1.0542871,1.5026592,1.6579258
108,1000BONK/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,1000bonk.png,8.6898,0.649,0.7024,0.6718,0.6909,0.0583,0.0667,-0.0307,1.1124,3.1942,0.5206,-51.23,,4.8591,-0.0275,2.1375906,2.5674868,2.6832118,2.4279807
109,GALA/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,gala.png,6.9583,0.522,0.5304,0.49,0.439,0.0246,0.0667,0.0126,-0.1634,3.0089,0.6347,-30.31,,1.109,-0.102,2.322988,2.3074598,2.0991883,2.6211843
110,ETH/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,eth.png,4.4033,0.7728,0.8212,0.8421,0.9028,0.149,0.1111,0.021,0.5964,14.7431,1.0235,-19.82,,1.9665,-0.0522,2.0030792,2.580419,2.2301056,2.5619986
111,ZEREBRO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",3,zerebro.png,10.6398,0.7148,0.7596,0.7157,0.7112,0.1767,0.0111,0.079,-0.4921,inf,0.3829,-49.04,,0.4429,-0.2276,2.048578,2.449062,2.507045,2.8781533
112,MAGIC/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,magic.png,6.9062,0.6564,0.7038,0.657,0.6822,0.0178,0.1333,-0.0508,3.0229,3.4555,0.6369,-42.62,,17.7902,-0.0285,1.5615703,2.0349784,1.96242,1.833283
113,DEXE/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,dexe.png,9.9016,0.5889,0.611,0.6486,0.6847,0.1471,0.0,0.2044,1.1606,5.1699,1.0185,-19.62,,3.4316,0.2114,1.2566534,1.3298459,1.8089275,2.4118066
114,BAN/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,ban.png,10.1182,0.6969,0.678,0.7224,0.7302,0.002,0.0889,0.19,0.5629,5.0978,0.6987,-45.33,,4.3169,-0.3013,1.6915854,2.0599868,2.332653,2.0716236
